FID IID BAPS_1 BAPS_2 BAPS_3 BAPS_4 BAPS_5 BAPS_6 BAPS_7 BAPS_8 BAPS_9 BAPS_10
307053_A04_hpgen5584296 307053_A04_hpgen5584296 0 1 0 0 0 0 0 0 0 0
307052_A12_hpgen5584264 307052_A12_hpgen5584264 0 1 0 0 0 0 0 0 0 0
307045_C02_hpgen5583464 307045_C02_hpgen5583464 0 1 0 0 0 0 0 0 0 0
307047_F10_hpgen5583729 307047_F10_hpgen5583729 0 1 0 0 0 0 0 0 0 0
307046_G05_hpgen5583593 307046_G05_hpgen5583593 0 1 0 0 0 0 0 0 0 0
307049_C09_hpgen5583914 307049_C09_hpgen5583914 0 1 0 0 0 0 0 0 0 0
307049_D10_hpgen5583923 307049_D10_hpgen5583923 0 1 0 0 0 0 0 0 0 0
307046_H04_hpgen5583586 307046_H04_hpgen5583586 0 1 0 0 0 0 0 0 0 0
307046_A01_hpgen5583554 307046_A01_hpgen5583554 0 1 0 0 0 0 0 0 0 0
307047_H12_hpgen5583748 307047_H12_hpgen5583748 0 1 0 0 0 0 0 0 0 0
307048_C08_hpgen5583807 307048_C08_hpgen5583807 0 1 0 0 0 0 0 0 0 0
307049_G02_hpgen5583861 307049_G02_hpgen5583861 0 1 0 0 0 0 0 0 0 0
307049_A07_hpgen5583896 307049_A07_hpgen5583896 0 1 0 0 0 0 0 0 0 0
307048_C01_hpgen5583751 307048_C01_hpgen5583751 0 1 0 0 0 0 0 0 0 0
307046_C06_hpgen5583597 307046_C06_hpgen5583597 0 1 0 0 0 0 0 0 0 0
307046_C10_hpgen5583629 307046_C10_hpgen5583629 0 1 0 0 0 0 0 0 0 0
307050_D10_hpgen5584020 307050_D10_hpgen5584020 0 1 0 0 0 0 0 0 0 0
307047_E10_hpgen5583728 307047_E10_hpgen5583728 0 1 0 0 0 0 0 0 0 0
307045_B11_hpgen5583538 307045_B11_hpgen5583538 0 1 0 0 0 0 0 0 0 0
307046_B04_hpgen5583580 307046_B04_hpgen5583580 0 1 0 0 0 0 0 0 0 0
307047_G09_hpgen5583722 307047_G09_hpgen5583722 0 1 0 0 0 0 0 0 0 0
307048_B12_hpgen5583840 307048_B12_hpgen5583840 0 1 0 0 0 0 0 0 0 0
307049_E10_hpgen5583924 307049_E10_hpgen5583924 0 1 0 0 0 0 0 0 0 0
307048_A03_hpgen5583765 307048_A03_hpgen5583765 0 1 0 0 0 0 0 0 0 0
307051_E04_hpgen5584071 307051_E04_hpgen5584071 0 1 0 0 0 0 0 0 0 0
307052_C01_hpgen5584150 307052_C01_hpgen5584150 0 1 0 0 0 0 0 0 0 0
307052_B06_hpgen5584210 307052_B06_hpgen5584210 0 1 0 0 0 0 0 0 0 0
307049_D12_hpgen5583940 307049_D12_hpgen5583940 0 1 0 0 0 0 0 0 0 0
307050_D04_hpgen5583972 307050_D04_hpgen5583972 0 1 0 0 0 0 0 0 0 0
307048_A09_hpgen5583813 307048_A09_hpgen5583813 0 1 0 0 0 0 0 0 0 0
307047_E11_hpgen5583736 307047_E11_hpgen5583736 0 1 0 0 0 0 0 0 0 0
307049_A06_hpgen5583888 307049_A06_hpgen5583888 0 1 0 0 0 0 0 0 0 0
307045_A02_hpgen5583462 307045_A02_hpgen5583462 0 1 0 0 0 0 0 0 0 0
307052_E01_hpgen5584152 307052_E01_hpgen5584152 0 1 0 0 0 0 0 0 0 0
307052_D02_hpgen5584162 307052_D02_hpgen5584162 0 1 0 0 0 0 0 0 0 0
307053_G04_hpgen5584302 307053_G04_hpgen5584302 0 1 0 0 0 0 0 0 0 0
307054_C01_hpgen5584374 307054_C01_hpgen5584374 0 1 0 0 0 0 0 0 0 0
307053_E07_hpgen5584326 307053_E07_hpgen5584326 0 1 0 0 0 0 0 0 0 0
307050_D02_hpgen5583956 307050_D02_hpgen5583956 0 1 0 0 0 0 0 0 0 0
307045_F04_hpgen5583484 307045_F04_hpgen5583484 0 1 0 0 0 0 0 0 0 0
307046_E05_hpgen5583591 307046_E05_hpgen5583591 0 1 0 0 0 0 0 0 0 0
307047_C05_hpgen5583686 307047_C05_hpgen5583686 0 1 0 0 0 0 0 0 0 0
307049_A01_hpgen5583847 307049_A01_hpgen5583847 0 1 0 0 0 0 0 0 0 0
307048_D07_hpgen5583800 307048_D07_hpgen5583800 0 1 0 0 0 0 0 0 0 0
307049_F09_hpgen5583917 307049_F09_hpgen5583917 0 1 0 0 0 0 0 0 0 0
307046_C03_hpgen5583573 307046_C03_hpgen5583573 0 1 0 0 0 0 0 0 0 0
307048_E06_hpgen5583793 307048_E06_hpgen5583793 0 1 0 0 0 0 0 0 0 0
307046_F08_hpgen5583616 307046_F08_hpgen5583616 0 1 0 0 0 0 0 0 0 0
307045_G10_hpgen5583535 307045_G10_hpgen5583535 0 1 0 0 0 0 0 0 0 0
307047_E03_hpgen5583672 307047_E03_hpgen5583672 0 1 0 0 0 0 0 0 0 0
307050_C11_hpgen5584027 307050_C11_hpgen5584027 0 1 0 0 0 0 0 0 0 0
307048_D02_hpgen5583760 307048_D02_hpgen5583760 0 0 1 0 0 0 0 0 0 0
307047_A09_hpgen5583716 307047_A09_hpgen5583716 0 0 1 0 0 0 0 0 0 0
307048_F04_hpgen5583778 307048_F04_hpgen5583778 0 0 1 0 0 0 0 0 0 0
307046_D12_hpgen5583647 307046_D12_hpgen5583647 0 0 1 0 0 0 0 0 0 0
